container;element;operation;n (elements);max resident (elements);average total time (us);total time stddev (us);min total time (us);max total time (us);max rss (kB)
std.container.rbtree;int;upsert;16;32;2.700;1.179;2.000;7.000;2,944
std.container.rbtree;int;lookupFind;16;32;1.433;0.504;1.000;2.000;2,944
std.container.rbtree;int;lookupFail;16;32;1.433;0.504;1.000;2.000;2,944
std.container.rbtree;int;remove;16;32;1.667;0.547;1.000;3.000;2,944
std.container.rbtree;String32;upsert;16;32;8.167;3.141;4.000;15.000;3,072
std.container.rbtree;String32;lookupFind;16;32;2.667;0.994;1.000;4.000;3,072
std.container.rbtree;String32;lookupFail;16;32;2.533;0.730;1.000;4.000;3,072
std.container.rbtree;String32;remove;16;32;3.367;0.615;2.000;5.000;3,072
std.container.rbtree;int;upsert;32;64;4.033;1.402;3.000;8.000;3,072
std.container.rbtree;int;lookupFind;32;64;1.600;0.621;1.000;3.000;3,072
std.container.rbtree;int;lookupFail;32;64;1.633;0.556;1.000;3.000;3,072
std.container.rbtree;int;remove;32;64;2.400;0.563;2.000;4.000;3,072
std.container.rbtree;String32;upsert;32;64;7.800;1.627;5.000;11.000;3,072
std.container.rbtree;String32;lookupFind;32;64;5.500;0.861;4.000;7.000;3,072
std.container.rbtree;String32;lookupFail;32;64;3.567;0.626;3.000;5.000;3,072
std.container.rbtree;String32;remove;32;64;4.667;0.606;4.000;6.000;3,072
std.container.rbtree;int;upsert;64;128;6.933;1.893;5.000;11.000;3,200
std.container.rbtree;int;lookupFind;64;128;2.167;0.791;1.000;4.000;3,200
std.container.rbtree;int;lookupFail;64;128;2.600;0.724;2.000;4.000;3,200
std.container.rbtree;int;remove;64;128;4.067;1.112;3.000;8.000;3,200
std.container.rbtree;String32;upsert;64;128;22.700;4.843;11.000;36.000;3,456
std.container.rbtree;String32;lookupFind;64;128;15.267;1.680;12.000;19.000;3,456
std.container.rbtree;String32;lookupFail;64;128;20.400;2.799;16.000;29.000;3,456
std.container.rbtree;String32;remove;64;128;15.000;1.114;13.000;17.000;3,456
std.container.rbtree;int;upsert;128;256;16.900;5.567;12.000;31.000;3,328
std.container.rbtree;int;lookupFind;128;256;5.233;1.654;3.000;9.000;3,328
std.container.rbtree;int;lookupFail;128;256;6.900;1.185;5.000;11.000;3,328
std.container.rbtree;int;remove;128;256;8.167;2.902;5.000;17.000;3,328
std.container.rbtree;String32;upsert;128;256;51.267;22.095;22.000;102.000;3,968
std.container.rbtree;String32;lookupFind;128;256;13.667;0.606;13.000;15.000;3,968
std.container.rbtree;String32;lookupFail;128;256;22.367;8.189;15.000;47.000;3,968
std.container.rbtree;String32;remove;128;256;36.867;13.701;22.000;75.000;3,968
std.container.rbtree;int;upsert;256;512;25.033;2.484;23.000;34.000;4,224
std.container.rbtree;int;lookupFind;256;512;12.167;9.147;7.000;45.000;4,224
std.container.rbtree;int;lookupFail;256;512;15.533;6.124;12.000;32.000;4,224
std.container.rbtree;int;remove;256;512;15.367;6.916;10.000;42.000;4,224
std.container.rbtree;String32;upsert;256;512;49.367;11.112;41.000;83.000;5,376
std.container.rbtree;String32;lookupFind;256;512;57.100;15.266;47.000;106.000;5,376
std.container.rbtree;String32;lookupFail;256;512;41.933;21.020;27.000;104.000;5,376
std.container.rbtree;String32;remove;256;512;52.567;16.366;37.000;108.000;5,376
std.container.rbtree;int;upsert;512;1,024;68.600;14.778;57.000;114.000;5,376
std.container.rbtree;int;lookupFind;512;1,024;29.700;12.078;24.000;78.000;5,376
std.container.rbtree;int;lookupFail;512;1,024;31.767;4.776;28.000;52.000;5,376
std.container.rbtree;int;remove;512;1,024;37.733;5.139;32.000;51.000;5,376
std.container.rbtree;String32;upsert;512;1,024;119.333;30.307;104.000;232.000;7,808
std.container.rbtree;String32;lookupFind;512;1,024;83.600;20.572;69.000;176.000;7,808
std.container.rbtree;String32;lookupFail;512;1,024;85.233;29.761;59.000;144.000;7,808
std.container.rbtree;String32;remove;512;1,024;79.467;8.920;72.000;110.000;7,808
std.container.rbtree;int;upsert;1,024;2,048;170.333;29.455;141.000;278.000;7,552
std.container.rbtree;int;lookupFind;1,024;2,048;67.167;3.228;65.000;81.000;7,552
std.container.rbtree;int;lookupFail;1,024;2,048;66.300;4.001;63.000;80.000;7,552
std.container.rbtree;int;remove;1,024;2,048;72.400;2.094;69.000;80.000;7,552
std.container.rbtree;String32;upsert;1,024;2,048;238.867;21.076;221.000;335.000;12,928
std.container.rbtree;String32;lookupFind;1,024;2,048;148.167;24.314;129.000;240.000;12,928
std.container.rbtree;String32;lookupFail;1,024;2,048;172.567;47.865;143.000;380.000;12,928
std.container.rbtree;String32;remove;1,024;2,048;171.533;13.127;159.000;212.000;12,928
std.container.rbtree;int;upsert;2,048;4,096;321.600;68.783;275.000;593.000;12,800
std.container.rbtree;int;lookupFind;2,048;4,096;176.200;33.165;130.000;244.000;12,800
std.container.rbtree;int;lookupFail;2,048;4,096;159.833;26.918;137.000;220.000;12,800
std.container.rbtree;int;remove;2,048;4,096;166.000;22.656;154.000;234.000;12,800
std.container.rbtree;String32;upsert;2,048;4,096;564.900;187.494;451.000;1,210.000;22,784
std.container.rbtree;String32;lookupFind;2,048;4,096;340.933;80.040;278.000;545.000;22,784
std.container.rbtree;String32;lookupFail;2,048;4,096;430.967;84.078;347.000;712.000;22,784
std.container.rbtree;String32;remove;2,048;4,096;387.633;27.094;357.000;441.000;22,784
std.container.rbtree;int;upsert;4,096;8,192;666.133;135.574;565.000;1,249.000;22,784
std.container.rbtree;int;lookupFind;4,096;8,192;356.867;77.525;295.000;665.000;22,784
std.container.rbtree;int;lookupFail;4,096;8,192;348.767;64.701;313.000;650.000;22,784
std.container.rbtree;int;remove;4,096;8,192;343.433;30.816;319.000;420.000;22,784
std.container.rbtree;String32;upsert;4,096;8,192;1,521.467;210.258;1,283.000;2,080.000;42,496
std.container.rbtree;String32;lookupFind;4,096;8,192;650.667;116.314;585.000;1,148.000;42,496
std.container.rbtree;String32;lookupFail;4,096;8,192;870.200;103.113;757.000;1,162.000;42,496
std.container.rbtree;String32;remove;4,096;8,192;829.733;57.023;769.000;1,069.000;42,496
std.container.rbtree;int;upsert;8,192;16,383;1,780.800;529.478;1,332.000;3,533.000;42,496
std.container.rbtree;int;lookupFind;8,192;16,383;725.000;81.971;634.000;893.000;42,496
std.container.rbtree;int;lookupFail;8,192;16,383;779.767;87.747;712.000;1,083.000;42,496
std.container.rbtree;int;remove;8,192;16,383;763.733;107.031;714.000;1,266.000;42,496
std.container.rbtree;String32;upsert;8,192;16,383;2,521.467;703.921;1,949.000;4,541.000;81,664
std.container.rbtree;String32;lookupFind;8,192;16,383;1,462.000;123.333;1,362.000;2,039.000;81,664
std.container.rbtree;String32;lookupFail;8,192;16,383;1,499.400;50.848;1,456.000;1,697.000;81,664
std.container.rbtree;String32;remove;8,192;16,383;1,864.267;369.862;1,695.000;3,026.000;81,664
std.container.rbtree;int;upsert;16,384;32,766;3,445.700;797.918;2,683.000;5,450.000;81,152
std.container.rbtree;int;lookupFind;16,384;32,766;1,685.667;235.436;1,535.000;2,495.000;81,152
std.container.rbtree;int;lookupFail;16,384;32,766;2,078.967;187.514;1,956.000;2,926.000;81,152
std.container.rbtree;int;remove;16,384;32,766;1,822.467;94.665;1,741.000;2,231.000;81,152
std.container.rbtree;String32;upsert;16,384;32,766;5,372.533;1,489.201;4,464.000;10,679.000;159,744
std.container.rbtree;String32;lookupFind;16,384;32,766;3,071.433;148.629;2,953.000;3,636.000;159,744
std.container.rbtree;String32;lookupFail;16,384;32,766;3,688.400;154.606;3,534.000;4,302.000;159,744
std.container.rbtree;String32;remove;16,384;32,766;6,024.000;413.881;5,679.000;7,232.000;159,744
std.container.rbtree;int;upsert;32,768;65,534;7,128.933;2,131.319;6,081.000;15,143.000;158,976
std.container.rbtree;int;lookupFind;32,768;65,534;3,853.200;170.361;3,706.000;4,482.000;158,976
std.container.rbtree;int;lookupFail;32,768;65,534;4,997.300;75.145;4,911.000;5,225.000;158,976
std.container.rbtree;int;remove;32,768;65,534;4,454.633;180.113;4,335.000;5,190.000;158,976
std.container.rbtree;String32;upsert;32,768;65,534;12,569.200;1,494.667;11,385.000;17,105.000;315,776
std.container.rbtree;String32;lookupFind;32,768;65,534;8,918.700;469.809;8,205.000;10,219.000;315,776
std.container.rbtree;String32;lookupFail;32,768;65,534;8,507.167;204.025;8,307.000;9,289.000;315,776
std.container.rbtree;String32;remove;32,768;65,534;8,787.700;280.057;8,504.000;10,085.000;315,776
std.container.rbtree;int;upsert;65,536;131,066;16,007.633;3,268.505;13,636.000;24,843.000;314,240
std.container.rbtree;int;lookupFind;65,536;131,066;9,241.567;909.416;8,783.000;13,743.000;314,240
std.container.rbtree;int;lookupFail;65,536;131,066;11,782.567;393.633;11,474.000;13,462.000;314,240
std.container.rbtree;int;remove;65,536;131,066;10,641.700;170.118;10,462.000;11,124.000;314,240
std.container.rbtree;String32;upsert;65,536;131,066;24,914.633;3,554.406;23,032.000;42,439.000;628,096
std.container.rbtree;String32;lookupFind;65,536;131,066;18,145.067;1,897.150;16,792.000;24,624.000;628,096
std.container.rbtree;String32;lookupFail;65,536;131,066;19,116.500;722.625;18,209.000;21,182.000;628,096
std.container.rbtree;String32;remove;65,536;131,066;18,906.200;539.807;18,384.000;20,747.000;628,096
std.container.rbtree;int;upsert;131,072;262,123;32,470.067;6,264.179;30,596.000;65,003.000;625,024
std.container.rbtree;int;lookupFind;131,072;262,123;22,066.067;2,089.995;20,454.000;29,035.000;625,024
std.container.rbtree;int;lookupFail;131,072;262,123;27,798.400;1,320.344;25,854.000;31,281.000;625,024
std.container.rbtree;int;remove;131,072;262,123;24,681.067;423.542;24,296.000;26,362.000;625,024
std.container.rbtree;String32;upsert;131,072;262,123;57,769.100;6,055.721;52,808.000;71,977.000;1,251,968
std.container.rbtree;String32;lookupFind;131,072;262,123;55,980.533;2,444.828;52,169.000;61,534.000;1,251,968
std.container.rbtree;String32;lookupFail;131,072;262,123;61,711.433;7,184.094;57,386.000;99,132.000;1,251,968
std.container.rbtree;String32;remove;131,072;262,123;59,481.733;20,190.882;49,933.000;130,143.000;1,251,968
std.container.rbtree;int;upsert;262,144;524,228;79,323.200;7,862.000;74,676.000;110,728.000;1,245,824
std.container.rbtree;int;lookupFind;262,144;524,228;57,299.667;2,956.365;53,472.000;64,770.000;1,245,824
std.container.rbtree;int;lookupFail;262,144;524,228;100,632.900;3,538.590;96,854.000;111,205.000;1,245,824
std.container.rbtree;int;remove;262,144;524,228;65,835.067;3,153.773;62,530.000;76,526.000;1,245,824
std.container.rbtree;String32;upsert;262,144;524,228;140,539.100;4,182.213;135,145.000;152,102.000;2,500,480
std.container.rbtree;String32;lookupFind;262,144;524,228;121,025.167;4,179.448;117,603.000;134,808.000;2,500,480
std.container.rbtree;String32;lookupFail;262,144;524,228;172,281.733;3,363.471;169,355.000;185,611.000;2,500,480
std.container.rbtree;String32;remove;262,144;524,228;157,956.700;3,168.516;155,204.000;165,883.000;2,500,480
std.container.rbtree;int;upsert;524,288;1,048,310;232,699.300;8,022.837;220,892.000;250,493.000;2,487,936
std.container.rbtree;int;lookupFind;524,288;1,048,310;193,788.433;9,604.639;174,997.000;238,311.000;2,487,936
std.container.rbtree;int;lookupFail;524,288;1,048,310;314,444.567;3,157.076;310,357.000;323,942.000;2,487,936
std.container.rbtree;int;remove;524,288;1,048,310;228,140.733;5,855.937;223,023.000;246,214.000;2,487,936
std.container.rbtree;String32;upsert;524,288;1,048,310;368,754.067;4,668.454;362,715.000;380,294.000;4,996,224
std.container.rbtree;String32;lookupFind;524,288;1,048,310;462,611.967;15,484.395;436,274.000;500,170.000;4,996,224
std.container.rbtree;String32;lookupFail;524,288;1,048,310;475,007.433;4,460.924;466,521.000;485,794.000;4,996,224
std.container.rbtree;String32;remove;524,288;1,048,310;424,519.900;13,461.859;414,617.000;492,075.000;4,996,224
std.container.rbtree;int;upsert;1,048,576;2,096,120;627,520.333;7,196.463;616,026.000;645,123.000;4,970,880
std.container.rbtree;int;lookupFind;1,048,576;2,096,120;528,665.733;3,965.969;523,167.000;539,282.000;4,970,880
std.container.rbtree;int;lookupFail;1,048,576;2,096,120;826,178.700;4,546.312;818,288.000;839,121.000;4,970,880
std.container.rbtree;int;remove;1,048,576;2,096,120;669,426.967;5,105.511;661,709.000;679,929.000;4,970,880
std.container.rbtree;String32;upsert;1,048,576;2,096,120;947,540.833;6,683.396;933,142.000;964,621.000;9,987,200
std.container.rbtree;String32;lookupFind;1,048,576;2,096,120;794,558.467;18,420.165;702,151.000;814,027.000;9,987,200
std.container.rbtree;String32;lookupFail;1,048,576;2,096,120;1,310,288.900;29,099.475;1,269,554.000;1,369,493.000;9,987,200
std.container.rbtree;String32;remove;1,048,576;2,096,120;1,077,936.433;15,960.023;1,027,263.000;1,136,903.000;9,987,200
AA-as-set;int;upsert;16;32;5.600;11.205;2.000;62.000;3,072
AA-as-set;int;lookupFind;16;32;1.433;0.504;1.000;2.000;3,072
AA-as-set;int;lookupFail;16;32;1.400;0.498;1.000;2.000;3,072
AA-as-set;int;remove;16;32;1.933;2.518;1.000;15.000;3,072
AA-as-set;String32;upsert;16;32;7.767;11.147;4.000;66.000;3,072
AA-as-set;String32;lookupFind;16;32;2.533;0.507;2.000;3.000;3,072
AA-as-set;String32;lookupFail;16;32;2.133;0.346;2.000;3.000;3,072
AA-as-set;String32;remove;16;32;2.767;0.504;2.000;4.000;3,072
AA-as-set;int;upsert;32;64;13.233;15.684;8.000;94.000;3,200
AA-as-set;int;lookupFind;32;64;1.533;0.571;1.000;3.000;3,200
AA-as-set;int;lookupFail;32;64;1.633;0.490;1.000;2.000;3,200
AA-as-set;int;remove;32;64;1.633;0.490;1.000;2.000;3,200
AA-as-set;String32;upsert;32;64;8.633;11.000;4.000;66.000;3,200
AA-as-set;String32;lookupFind;32;64;2.600;0.498;2.000;3.000;3,200
AA-as-set;String32;lookupFail;32;64;2.733;2.363;2.000;15.000;3,200
AA-as-set;String32;remove;32;64;4.100;5.473;2.000;33.000;3,200
AA-as-set;int;upsert;64;128;8.467;9.544;5.000;58.000;3,456
AA-as-set;int;lookupFind;64;128;2.233;0.774;1.000;5.000;3,456
AA-as-set;int;lookupFail;64;128;2.500;2.623;1.000;16.000;3,456
AA-as-set;int;remove;64;128;2.333;0.547;2.000;4.000;3,456
AA-as-set;String32;upsert;64;128;12.667;9.675;7.000;56.000;3,584
AA-as-set;String32;lookupFind;64;128;4.000;0.263;3.000;5.000;3,584
AA-as-set;String32;lookupFail;64;128;3.767;0.504;3.000;5.000;3,584
AA-as-set;String32;remove;64;128;5.833;4.691;4.000;23.000;3,584
AA-as-set;int;upsert;128;256;16.400;9.832;13.000;68.000;3,968
AA-as-set;int;lookupFind;128;256;2.400;0.498;2.000;3.000;3,968
AA-as-set;int;lookupFail;128;256;2.800;0.551;2.000;4.000;3,968
AA-as-set;int;remove;128;256;4.833;4.480;3.000;22.000;3,968
AA-as-set;String32;upsert;128;256;26.333;15.657;21.000;106.000;4,224
AA-as-set;String32;lookupFind;128;256;6.533;0.507;6.000;7.000;4,224
AA-as-set;String32;lookupFail;128;256;7.467;4.493;5.000;27.000;4,224
AA-as-set;String32;remove;128;256;8.333;0.606;8.000;10.000;4,224
AA-as-set;int;upsert;256;512;26.300;10.999;23.000;84.000;4,992
AA-as-set;int;lookupFind;256;512;4.367;0.490;4.000;5.000;4,992
AA-as-set;int;lookupFail;256;512;4.367;0.556;4.000;6.000;4,992
AA-as-set;int;remove;256;512;8.100;7.208;4.000;33.000;4,992
AA-as-set;String32;upsert;256;512;45.833;24.385;35.000;164.000;5,632
AA-as-set;String32;lookupFind;256;512;18.067;10.657;12.000;50.000;5,632
AA-as-set;String32;lookupFail;256;512;11.833;3.668;10.000;30.000;5,632
AA-as-set;String32;remove;256;512;15.600;5.230;14.000;43.000;5,632
AA-as-set;int;upsert;512;1,024;64.633;20.515;53.000;142.000;7,296
AA-as-set;int;lookupFind;512;1,024;10.167;9.363;6.000;48.000;7,296
AA-as-set;int;lookupFail;512;1,024;11.633;0.615;11.000;13.000;7,296
AA-as-set;int;remove;512;1,024;11.133;2.529;9.000;22.000;7,296
AA-as-set;String32;upsert;512;1,024;89.567;18.485;81.000;160.000;8,576
AA-as-set;String32;lookupFind;512;1,024;23.167;1.967;22.000;33.000;8,576
AA-as-set;String32;lookupFail;512;1,024;30.867;7.995;28.000;73.000;8,576
AA-as-set;String32;remove;512;1,024;28.933;1.660;28.000;35.000;8,576
AA-as-set;int;upsert;1,024;2,048;90.767;18.431;81.000;151.000;11,392
AA-as-set;int;lookupFind;1,024;2,048;14.233;1.695;13.000;22.000;11,392
AA-as-set;int;lookupFail;1,024;2,048;19.000;10.366;16.000;72.000;11,392
AA-as-set;int;remove;1,024;2,048;16.900;3.241;15.000;32.000;11,392
AA-as-set;String32;upsert;1,024;2,048;149.667;29.351;134.000;248.000;13,824
AA-as-set;String32;lookupFind;1,024;2,048;50.633;10.040;47.000;100.000;13,824
AA-as-set;String32;lookupFail;1,024;2,048;48.567;3.380;46.000;66.000;13,824
AA-as-set;String32;remove;1,024;2,048;58.700;9.987;54.000;92.000;13,824
